126,58;-20,4
131,93;-13,6
135,99;-1,497
147,58;1,95
155,89;3,72
158,91;3,58
167,67;4,19
173,15;4,9
173,49;4,381
180;4,406
181,86;4,26
186;4,319
189;4,264
190,55;4,232
191,06;4,7
191,1;3,99
192,64;4,23
193;4,181
193,15;4,3
196;4,114
199,83;5,06
200;4,4
200;4,021
203,16;2,818
203,16;4,518
204,61;3,93
207;3,855
213,15;3,86
213,16;2,62
215;4,169
218,87;3,55
220;3,552
223,16;2,537
223,16;4,256
225;3,24
227,6;4,091
233,15;3,45
233,16;1,833
234,05;3,3
240;3,508
240;3,147
243,16;2,147
248,16;3,515
248,54;3,01
250;2,84
253,15;3,05
253,16;3,081
255,38;3,458
260;2,834
263,08;2,79
263,16;3,311
273;2,661
273;2,677
273,15;3,047
273,15;2,87
273,15;2,71
273,15;2,88
273,15;2,62
273,15;2,669
273,15;2,7
273,15;2,605
273,15;3,28
273,15;2,635
273,15;2,59
273,15;2,659
273,16;2,626
273,16;2,674
273,16;2,82
273,16;2,619
275;2,53
283,15;2,565
283,16;2,456
286,65;2,44
291,41;2,49
293,15;4,524
293,15;2,6
293,15;2,477
293,16;2,958
294,27;2,368
298;2,406
298;2,44
298,15;2,624
298,15;2,62
298,15;2,51
298,15;2,72
298,15;2,37
298,15;2,391
298,15;2,39
298,15;2,45
298,15;2,322
298,15;2,322
298,15;2,46
298,15;2,31
298,15;2,8
298,15;2,7
298,15;2,341
298,16;2,314
298,16;2,366
298,16;2,094
300;2,394
300;2,41
300;2,29
303,15;2,32
303,15;2,292
303,15;2,396
303,16;2,295
310;2,16
310,94;1,956
313,15;2,39
313,15;2,319
313,16;2,306
320;2,205
320;2,257
323,15;2,43
323,15;2,37
323,15;2,31
323,15;2,45
323,15;2,15
323,15;2,193
323,15;1,78
323,15;1,9
323,15;2,156
323,15;2,191
323,15;2,34
323,15;2,09
323,15;2,247
323,16;2,096
323,16;2,125
323,16;2,537
323,16;1,582
325;2,1
327,6;1,749
333,15;2,25
333,16;1,855
344,27;1,558
348,15;2,41
348,15;2,335
348,15;2,17
348,15;2,3
348,15;1,975
348,15;2,039
348,15;1,96
348,15;1,4
348,15;1,913
348,15;2,038
348,15;2,28
348,15;1,93
348,16;1,971
348,16;2,033
350;1,96
353,15;2,14
360,94;1,54
373,15;2,232
373,15;2,144
373,15;2,03
373,15;2,01
373,15;1,834
373,15;2,12
373,15;1,803
373,15;2,526
373,15;1,961
373,15;1,81
373,16;1,915
373,16;1,871
373,16;1,866
373,16;1,505
375;1,84
377,6;1,513
393,15;1,88
394,27;1,468
398,15;1,75
398,15;1,999
398,15;1,88
398,15;1,8
398,15;1,727
398,15;1,696
398,15;1,797
398,15;1,73
398,15;1,9
398,15;2
398,16;1,732
398,16;1,767
398,17;1,818
410,94;1,466
423,15;1,656
423,15;1,767
423,15;1,76
423,15;1,56
423,15;1,64
423,15;1,605
423,15;1,595
423,15;1,67
423,16;1,658
423,16;1,59
423,16;1,462
423,18;1,735
427,6;1,475
444,27;1,451
448,15;1,585
448,15;1,532
448,16;1,566
448,2;1,669
460,94;1,457
473,15;1,514
473,15;1,479
473,16;1,501
473,16;2,071
473,16;1,384
473,21;1,611
477,6;1,437
494,27;1,426
498,15;1,465
498,15;1,415
498,16;1,419
498,23;1,562
510,94;1,401
523,15;1,42
523,15;1,358
523,15;1,325
523,15;1,325
523,15;1,15
523,16;1,352
523,25;1,52
548,15;1,385
548,15;1,319
548,16;1,312
548,26;1,483
573,15;1,36
573,15;1,293
573,15;1,337
573,15;1,336
573,15;1,47
573,16;1,282
573,28;1,45
598,15;1,345
598,15;1,275
598,16;1,267
598,29;1,42
623,15;1,33
623,15;1,241
623,15;1,274
623,15;1,274
623,15;1,65
623,16;1,243
623,3;1,393
648,15;1,242
648,15;1,7
648,31;1,369
653,15;1,242
653,15;1,24
673,15;1,85
673,31;1,346
